SMILES,Caption
C1=CC=CC=C1,This molecule is benzene.
C1=CC=CC=C1,"This molecule is benzene, a ring of six carbons with three double bonds."
C1=CC=CC=C1,"This molecule is benzene, a carbon ring with six atoms and three alternating double bonds."
C1=CC=C(C=C1)C2=CC=CC=C2,This molecule is Biphenyl.
C1=CC=C(C=C1)C2=CC=CC=C2,This molecule consists of two benzene rings connected by a single covalent bond.
C1=CC=C(C=C1)C2=CC=CC=C2,"This molecule is Biphenyl, composed of two benzene rings joined by a single covalent bond."
C#C,This molecule is carbon-carbon triple bond.
C#C,This molecule consists of two carbon atoms connected by a carbon-carbon triple bond.
C#C,This molecule has two carbon atoms linked via a triple covalent bond.
C#CC#C,This molecule is diacetylene.
C#CC#C,This molecule consists of a carbon chain with two triple bonds.
C#CC#C,"This molecule is diacetylene, a carbon chain with two triple bonds."
C#CC1=CC=C(C=C1)C#C,This molecule is Diethynylbenzene.
C#CC1=CC=C(C=C1)C#C,This molecule consists of a benzene core with ethynyl groups as anchor groups attached to the 1st and 4th carbons of the benzene ring.
C#CC1=CC=C(C=C1)C#C,"This molecule is diethynylbenzene, a benzene core with ethynyl groups as anchor groups attached to the 1st and 4th carbons of the benzene ring."
C1=CC=C(C=C1)C#CC2=CC=CC=C2,This molecule is a diphenylacetylene.
C1=CC=C(C=C1)C#CC2=CC=CC=C2,This molecule consists of two benzene rings linked by an carbon-carbon triple bond.
C1=CC=C(C=C1)C#CC2=CC=CC=C2,"This molecule is diphenylacetylene, two benzene rings linked by an carbon-carbon triple bond."
C1=CC2=C(C=C1)C3=C(C=C2)C=C(C=C3),This molecule is a phenanthrene.
C1=CC2=C(C=C1)C3=C(C=C2)C=C(C=C3),This molecule consists of a polycyclic aromatic hydrocarbon composed of three fused benzene rings in a planar.
C1=CC2=C(C=C1)C3=C(C=C2)C=C(C=C3),"This molecule is phenanthrene, a polycyclic aromatic hydrocarbon composed of three fused benzene rings in a planar."
C1=CC=C2C=C3C=CC=CC3=CC2=C1,This molecule is an anthracene.
C1=CC=C2C=C3C=CC=CC3=CC2=C1,This molecule is a polycyclic aromatic hydrocarbon consisting of three fused benzene rings in a rectilinear arrangement.
C1=CC=C2C=C3C=CC=CC3=CC2=C1,"This molecule is anthracene, a polycyclic aromatic hydrocarbon consisting of three fused benzene rings in a rectilinear arrangement."
C1=CC=C2C=CC=CC2=C1,This molecule is naphthalene.
C1=CC=C2C=CC=CC2=C1,This molecule consists of a polycyclic aromatic hydrocarbon with two fused benzene rings in a planar.
C1=CC=C2C=CC=CC2=C1,"This molecule is naphthalene, a polycyclic aromatic hydrocarbon with two fused benzene rings in a planar."
N,Amino anchor group.
N,"Amino containing a nitrogen atom, which act as anchoring groups."
N,"Anchoring group, consisting of amino."
N,"Amino groups, functioning as anchor group."
N,Amino groups serve as anchoring moiety.
C1=CC(=CC=C1C#CC2=CC=C(C=C2)N)N,"This molecule consists of a diphenylacetylene backbone, with amino groups attached to each benzene ring, and these groups act as anchor groups."
C1=CC(=CC=C1C#CC2=CC=C(C=C2)N)N,"This molecule has a diphenylacetylene core structure, featuring amino groups bonded to both benzene rings of the backbone, with these moieties serving as anchor groups."
