index,k_shot,caption,true_smiles,pred_smiles,raw_text
0,5,This molecule has two pyridine cores linked by a diacetylene chain.,C(C#CC1=CC=NC=C1)#CC1=CC=NC=C1,=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC,"the caption of a molecule, your job is to predict the SMILES representation. Input rule: Output only one SMILES string.:::::::::::=::::=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC:===::=: molecule"
1,5,This molecule uses a diacetylene chain to link two pyridine rings.,C(C#CC1=CC=NC=C1)#CC1=CC=NC=C1,=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC,:::=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC::::: :==CC:::::====CC:::: Given Given
2,5,This molecule connects two pyridine rings via a diacetylene chain.,C(C#CC1=CC=NC=C1)#CC1=CC=NC=C1,PARSE_FAIL,"::::::::: Output rule: Output only one SMILES string. Input rule: Output only one SMILES string. Now, solve the following query: Instruction: Given the caption of a molecule, predict the SMILES representation. Input:::==:::::: S:::::: S Example 6: C"
3,5,This molecule consists of a diphenylacetylene backbone with carboxyl groups attached to each benzene ring.,C1=CC(=CC=C1C#CC2=CC=C(C=C2)C(=O)O)C(=O)O,####CC,":::::::::, predict the SMILES representation. Input: This molecule consists of a benzene skeleton with ethynyl groups as anchor groups attached to the 1st and 4th carbons of the ring.:##:::::####CC::::, predict the, predict"
4,5,This molecule features a diphenylacetylene backbone featuring carboxyl groups bonded to both benzene rings.,C1=CC(=CC=C1C#CC2=CC=C(C=C2)C(=O)O)C(=O)O,C=C1)C2=CC=NC=C2C3=CC=NC=C3C4=CC=NC=C4C5=CC=NC=C5,:::::::::C=C1)C2=CC=NC=C2C3=CC=NC=C3C4=CC=NC=C4C5=CC=NC=C5 Example 6: Instruction::===::::: C==C=C:=::=O))SC2=CC=C(=
5,5,"This molecule contains a diphenylacetylene framework, where carboxyl groups are positioned on the two benzene rings linked by an ethynyl group, and both groups function as anchor groups.",C1=CC(=CC=C1C#CC2=CC=C(C=C2)C(=O)O)C(=O)O,C1=CC=NC=C1C2=CC=NC=C2C3=CC=NC=C3C4=CC=NC=C4C5=CC=NC=C5C6=CC=NC=C6=====,::::::::: benzene rings. Output: C1=CC=NC=C1C2=CC=NC=C2C3=CC=NC=C3C4=CC=NC=C4C5=CC=NC=C5C6=CC=NC=C6=====:::::::. benzene
6,5,"This molecule has an anthracene core with sulfhydryl groups  attached, acting as anchor groups.",SC1=CC=C2C=C3C=C(S)C=CC3=CC2=C1,CC(=O)SC1=CC=C(C=C1)C#CC2=CC===,:::::: Sulfhydryl anchor group. Output: S Output rule: Output only one SMILES string. Example 6:::::====::::: CC(=O)SC1=CC=C(C=C1)C#CC2=CC===::::: Output: S Output
7,5,"This molecule features an anthracene framework where sulfhydryl groups bond to symmetric sites, serving as anchor groups.",SC1=CC=C2C=C3C=C(S)C=CC3=CC2=C1,C1=C(=CC(=C1I)C(=O)O)I)C(=O)O,"the caption of a molecule, predict the SMILES representation of the molecule.:::::::::: C=C=C:::::: C1=C(=CC(=C1I)C(=O)O)I)C(=O)O Output: C:::::: C: Output: C Out"
8,5,"This molecule uses an anthracene skeleton with sulfhydryl groups connecting to symmetric positions, functioning as anchor groups.",SC1=CC=C2C=C3C=C(S)C=CC3=CC2=C1,=O)SC1=CC=C(=O)SC2=CC=C(=O)SC3=CC=C(=O)SC(C)=O)C=C2)C=C1,"::::::::::::=O)SC1=CC=C(=O)SC2=CC=C(=O)SC3=CC=C(=O)SC(C)=O)C=C2)C=C1 Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation.=:::=N1:=."
9,5,"This molecule contains a Biphenyl structure consisting of two benzene rings, each with an amino group attached as anchor group.",NC1=CC=C(C2=CC=C(N)C=C2)C=C1,=C=C=C,"::::::::::=C=C=C:=CC2=C1 Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation. Input: This molecule is anthracene, a polycyclic aromatic hydrocarbon::::=CC=CC=CC=CC::=C=C2)C"
10,5,"This molecule has a Biphenyl made up of two benzene rings, each containing an amino anchor group.",NC1=CC=C(C2=CC=C(N)C=C2)C=C1,=CC=C=CC=C=CC=NC=C3)C4=CC=C(C)==,::::::::::: This molecule is composed of a thiophene skeleton with sulfhydryl groups as anchoring moiety. Output: S:::::::=CC=C=CC=C=CC=NC=C3)C4=CC=C(C)==::=CC==
11,5,"This molecule is composed of a Biphenyl structure with two benzene rings, each containing an amino group.",NC1=CC=C(C2=CC=C(N)C=C2)C=C1,C1=CSC,":::=CC(=C2)C#N)C=C:::::::: This molecule uses a naphthalene skeleton with Cyano groups connecting to symmetric positions, functioning as anchor groups. Output: C1=CSC::::::::::=CC::=C2)N=C="
12,5,"This molecule has a naphthalene core with methylthio groups attached to symmetric positions, acting as anchor groups.",CSC1=CC=C2C=C(SC)C=CC2=C1,)=CC=C),":::::::::. Input rule: Output only one SMILES string. Input rule: Output only one SMILES string. Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation. Input:: :::::::==C=C=:)=CC=C) Example 6)"
13,5,"This molecule features a naphthalene framework where methylthio groups bond to symmetric sites of the naphthalene rings, serving as anchor groups.",CSC1=CC=C2C=C(SC)C=CC2=C1,PARSE_FAIL,"::::::::: Input: This molecule consists of a thiophene skeleton with pyridine rings as anchor groups. Output: N Now, solve the following query: Instruction: Given the caption of a molecule, predict the SMILES representation. In::==:::::::::::: In In"
14,5,"This molecule uses a naphthalene skeleton with methylthio groups connecting to symmetric positions, functioning as anchor groups.",CSC1=CC=C2C=C(SC)C=CC2=C1,=====C,":::::::::. Output rule: Output only one SMILES string. Input rule: Output only one SMILES string. Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation. Input::=====C:::::=C:::: groups. Output: CNC groups"
15,5,"This molecule has a pyridine core with two sulfhydryl groups attached to the 2nd and 6th carbons, acting as anchor groups.",SC1=CC=CC(S)=N1,structure.=,::::::::::phenylacetylene core structure. Input: This molecule has a diphenylacetylene core structure. This molecule has aphenylacetylene core structure. Input: This molecule has a diphenylacetylene core structure.=.:::::=::::::
16,5,"This molecule features a pyridine framework where sulfhydryl moieties bond to symmetric sites of the pyridine ring, serving as anchor groups.",SC1=CC=CC(S)=N1,C(=O)Othecaptionofamolecule,"::::: the caption of a molecule, predict the SMILES representation. Input: Cyano anchor group. Output: C(=O)O the caption of a molecule, predict the SMILES representation.:::::::::::: Given the caption of a molecule, C==:::: Given the caption Given"
17,5,"This molecule uses a pyridine skeleton with sulfhydryl groups connecting to symmetric positions, functioning as anchor groups.",SC1=CC=CC(S)=N1,C===,":::::::::l backbone with methylamino groups attached to both benzene rings, and these groups act as anchor groups. Output rule: Output only one SMILES string.::=:::::: C===::=:l backbone with methylamino groups attached to both benzene ringsl"
18,5,"This molecule has a pyridine core with S-Methyl thioacetate groups attached to the 3rd and 5th carbons, acting as anchor groups.",CSC(=O)C1=CN=CC(C(=O)SC)=C1,=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC,:::::::=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC: this problem:==:::::::::==:
19,5,"This molecule features a pyridine framework where two S-Methyl thioacetate groups bond to symmetric sites of the pyridine ring, serving as anchor groups.",CSC(=O)C1=CN=CC(C(=O)SC)=C1,==CC=CC=CC,":::::::CC: Given the caption of a molecule, predict the SMILES representation. Input: This molecule has a backbone consisting of eight carbon atoms and features sulfhydryl anchor groups attached at each end.::==CC=CC=CC:::::=CC==CC:=CC:::"
20,5,"This molecule uses a pyridine skeleton with S-Methyl thioacetate groups connecting to symmetric positions, functioning as anchor groups.",CSC(=O)C1=CN=CC(C(=O)SC)=C1,#CC3=CC=C(S2)C#CC4=CC=NC=C4,":::::::::#CC3=CC=C(S2)C#CC4=CC=NC=C4 Example 6: Instruction: Given the caption of a molecule, predict the SMILES representation. Input:===C:::::::==C===CC=C=CC=CC=CC=CC=CC="
21,5,"This molecule has a pyrene core with methylamino groups attached to symmetric positions, acting as anchor groups.",CNC1=CC2=C3C(=C1)C=CC1=CC(NC)=CC(=C13)CC2,=C=,":::::::: of a molecule, predict the SMILES representation. Input: This molecule contains a phenazine ring framework.:::=C=:::::::::::: Input: This molecule contains a pyridine ring framework. a molecule, predict the SMILES representation"
22,5,This molecule features a pyrene framework where Methylamino anchor groups bond to symmetric sites of the pyrene rings.,CNC1=CC2=C3C(=C1)C=CC1=CC(NC)=CC(=C13)CC2,=CC=C1C(=O)O)C(=O)O)C(=O)O,:::::::::::=CC=C1C(=O)O)C(=O)O)C(=O)O C(=O)O C(=O)O C(=O)O C(=O)O C(=O)O C(=O)O C(=O)O C1=CC=CC=CC=CC=:::::
23,5,"This molecule uses a pyrene skeleton with methylamino groups connecting to symmetric positions, functioning as potential anchor groups.",CNC1=CC2=C3C(=C1)C=CC1=CC(NC)=CC(=C13)CC2,BrC1=CC2=C(C=C1)C=C(Br)C=C2Example2,"::::::::: atoms as anchor groups. Output: BrC1=CC2=C(C=C1)C=C(Br)C=C2 Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation. Input:::==C=C::::::::::::"
